AUD/USD;
Date;Clôture
25/02/2020; $0,66 
26/02/2020; $0,65 
27/02/2020; $0,66 
28/02/2020; $0,65 
02/03/2020; $0,65 
03/03/2020; $0,66 
04/03/2020; $0,66 
05/03/2020; $0,66 
06/03/2020; $0,67 
09/03/2020; $0,66 
10/03/2020; $0,65 
11/03/2020; $0,65 
12/03/2020; $0,62 
13/03/2020; $0,62 
16/03/2020; $0,61 
17/03/2020; $0,60 
18/03/2020; $0,58 
19/03/2020; $0,57 
20/03/2020; $0,58 
23/03/2020; $0,58 
24/03/2020; $0,60 
25/03/2020; $0,60 
26/03/2020; $0,61 
27/03/2020; $0,62 
30/03/2020; $0,62 
31/03/2020; $0,61 
01/04/2020; $0,61 
02/04/2020; $0,61 
03/04/2020; $0,60 
06/04/2020; $0,61 
07/04/2020; $0,62 
08/04/2020; $0,62 
09/04/2020; $0,63 
10/04/2020; $0,64 
13/04/2020; $0,64 
14/04/2020; $0,64 
15/04/2020; $0,63 
16/04/2020; $0,63 
17/04/2020; $0,64 
20/04/2020; $0,63 
21/04/2020; $0,63 
22/04/2020; $0,63 
23/04/2020; $0,64 
24/04/2020; $0,64 
27/04/2020; $0,65 
28/04/2020; $0,65 
29/04/2020; $0,66 
30/04/2020; $0,65 
01/05/2020; $0,64 
04/05/2020; $0,64 
05/05/2020; $0,64 
06/05/2020; $0,64 
07/05/2020; $0,65 
08/05/2020; $0,65 
11/05/2020; $0,65 
12/05/2020; $0,65 
13/05/2020; $0,65 
14/05/2020; $0,65 
15/05/2020; $0,64 
18/05/2020; $0,65 
19/05/2020; $0,65 
20/05/2020; $0,66 
21/05/2020; $0,66 
22/05/2020; $0,65 
25/05/2020; $0,65 
26/05/2020; $0,67 
27/05/2020; $0,66 
28/05/2020; $0,66 
29/05/2020; $0,67 
01/06/2020; $0,68 
02/06/2020; $0,69 
03/06/2020; $0,69 
04/06/2020; $0,69 
05/06/2020; $0,70 
08/06/2020; $0,70 
09/06/2020; $0,70 
10/06/2020; $0,70 
11/06/2020; $0,69 
12/06/2020; $0,69 
15/06/2020; $0,69 
16/06/2020; $0,69 
17/06/2020; $0,69 
18/06/2020; $0,69 
19/06/2020; $0,68 
22/06/2020; $0,69 
23/06/2020; $0,69 
24/06/2020; $0,69 
25/06/2020; $0,69 
26/06/2020; $0,69 
29/06/2020; $0,69 
30/06/2020; $0,69 
01/07/2020; $0,69 
02/07/2020; $0,69 
03/07/2020; $0,69 
06/07/2020; $0,70 
07/07/2020; $0,69 
08/07/2020; $0,70 
09/07/2020; $0,70 
10/07/2020; $0,69 
13/07/2020; $0,69 
14/07/2020; $0,70 
15/07/2020; $0,70 
