EUR/JPY;
Date;Clôture
29/11/2019; ¥120,63 
02/12/2019; ¥120,72 
03/12/2019; ¥120,36 
04/12/2019; ¥120,56 
05/12/2019; ¥120,76 
06/12/2019; ¥120,07 
09/12/2019; ¥120,08 
10/12/2019; ¥120,57 
11/12/2019; ¥120,78 
12/12/2019; ¥121,62 
13/12/2019; ¥121,60 
16/12/2019; ¥121,99 
17/12/2019; ¥122,05 
18/12/2019; ¥121,70 
19/12/2019; ¥121,62 
20/12/2019; ¥121,24 
23/12/2019; ¥121,26 
24/12/2019; ¥121,28 
25/12/2019; ¥121,26 
26/12/2019; ¥121,65 
27/12/2019; ¥122,27 
30/12/2019; ¥121,89 
31/12/2019; ¥121,75 
01/01/2020; ¥121,85 
02/01/2020; ¥121,27 
03/01/2020; ¥120,63 
06/01/2020; ¥121,33 
07/01/2020; ¥120,89 
08/01/2020; ¥121,17 
09/01/2020; ¥121,61 
10/01/2020; ¥121,72 
13/01/2020; ¥122,39 
14/01/2020; ¥122,39 
15/01/2020; ¥122,52 
16/01/2020; ¥122,64 
17/01/2020; ¥122,12 
20/01/2020; ¥122,23 
21/01/2020; ¥121,75 
22/01/2020; ¥121,81 
23/01/2020; ¥121,00 
24/01/2020; ¥120,45 
27/01/2020; ¥119,98 
28/01/2020; ¥120,26 
29/01/2020; ¥119,99 
30/01/2020; ¥120,17 
31/01/2020; ¥120,23 
03/02/2020; ¥120,17 
04/02/2020; ¥120,93 
05/02/2020; ¥120,75 
06/02/2020; ¥120,77 
07/02/2020; ¥120,07 
10/02/2020; ¥119,75 
11/02/2020; ¥119,80 
12/02/2020; ¥119,67 
13/02/2020; ¥119,03 
14/02/2020; ¥118,85 
17/02/2020; ¥119,04 
18/02/2020; ¥118,55 
19/02/2020; ¥120,30 
20/02/2020; ¥120,88 
21/02/2020; ¥120,98 
24/02/2020; ¥120,14 
25/02/2020; ¥119,88 
26/02/2020; ¥120,13 
27/02/2020; ¥120,52 
28/02/2020; ¥119,15 
02/03/2020; ¥120,56 
03/03/2020; ¥119,66 
04/03/2020; ¥119,71 
05/03/2020; ¥119,30 
06/03/2020; ¥118,83 
09/03/2020; ¥117,15 
10/03/2020; ¥119,14 
11/03/2020; ¥117,77 
12/03/2020; ¥117,01 
13/03/2020; ¥119,83 
16/03/2020; ¥118,35 
17/03/2020; ¥118,39 
18/03/2020; ¥117,93 
19/03/2020; ¥118,33 
20/03/2020; ¥118,49 
23/03/2020; ¥119,22 
24/03/2020; ¥119,96 
25/03/2020; ¥120,97 
26/03/2020; ¥120,84 
27/03/2020; ¥120,19 
30/03/2020; ¥119,11 
31/03/2020; ¥118,59 
01/04/2020; ¥117,46 
02/04/2020; ¥117,14 
03/04/2020; ¥117,21 
06/04/2020; ¥117,84 
07/04/2020; ¥118,39 
08/04/2020; ¥118,12 
09/04/2020; ¥118,51 
10/04/2020; ¥118,56 
